Hi.	Salut!
Stop!	Arrête-toi !
I won!	J'ai gagné !
Get up.	Lève-toi.
Hop in.	Montez.
I paid.	J’ai payé.
No way!	Il n'en est pas question !
We won.	Nous gagnâmes.
Be fair.	Soyez juste !
Be nice.	Soyez gentils !
Come in.	Entrez !
Get out!	Sortez !
Go away.	Fous le camp !
Go slow.	Allez doucement !
Help me!	Aide-moi !
I dozed.	Je me suis assoupi.
I tried.	J'essayai.
I'm hit!	Je suis touchée !
Keep it.	Gardez-le !
See you.	À plus.
Take it.	Prends-le !
Wake up.	Réveille-toi !
We lost.	Nous fûmes défaites.
Am I fat?	Suis-je grosse ?
Be a man.	Soyez un homme !
Cuff him.	Menottez-le.
Get down.	Descends !
Go ahead!	Avance !
Have fun.	Amuse-toi bien !
How nice!	Comme c'est gentil !
I did it.	C'est moi qui l'ai fait.
I nodded.	J’ai fait signe de la tête.
I sighed.	J’ai soupiré.
I'm back.	Je suis revenu.
I'm deaf.	Je suis sourde.
I'm free.	Je suis libre.
I'm lazy.	Je suis fainéant.
I'm sure.	J'en suis sûr.
I'm well.	Je me porte bien.
It's his.	C'est le sien.
Leave it.	Laisse tomber !
Marry me.	Épousez-moi !
Sit down!	Assieds-toi !
Taste it.	Goûte-le.
They won.	Elles gagnèrent.
Tom lost.	Tom a perdu.
Use this.	Utilise ceci.
We agree.	Nous sommes d'accord.
Who quit?	Qui démissionne ?
Be seated.	Assieds-toi !
Catch Tom.	Attrape Tom.
Come over.	Venez ici !
Did I win?	Est-ce moi qui ai gagné ?
Don't run.	Ne cours pas.
Feel this.	Sentez ça !
Forget it.	Laisse tomber.
Go get it.	Allez le chercher !
Grab this.	Attrape ça !
He's sexy.	Il est sexy.
How weird!	Comme c'est bizarre !
I beg you.	Je vous en conjure.
I give in.	Je donne ma langue au chat.
I hit Tom.	J'ai frappé Tom.
I mean it!	Je suis sérieux !
I need it.	J'en ai besoin.
I saw him.	Je l'ai vu.
I saw you.	Je vous ai vus.
I will go.	J'irai.
I'll pack.	Je ferai mon sac.
I'll wait.	J'attendrai.
I'm alone.	Je suis seul.
I'm crazy.	Je suis fou.
I'm first.	Je suis en premier.
I'm lucky.	Je suis veinard.
I'm naked.	Je suis à poil.
I'm sorry.	Désolé !
I'm yours.	Je suis à toi.
Is it you?	Est-ce vous ?
It worked.	Ça a marché.
It's dead.	Il est mort.
It's lost.	C'est perdu.
It's time.	Il est temps !
Let it be.	Laisse faire.
Let me go.	Laissez-moi partir !
Lie still.	Restez allongé, immobile !
Loosen up.	Échauffe-toi !
Of course!	Mais ouais !
Say hello.	Dis bonjour.
She cried.	Elle pleura.
Slow down.	Ralentissez !
Stay down!	Reste baissé.
Stop that!	Arrêtez !
Take mine.	Prends la mienne.
Thank you.	Merci.
They left.	Elles sont parties.
Tom cooks.	Tom cuisine.
Tom's mad.	Tom est en colère.
Wait here.	Attends ici.
We did it.	Nous l'avons fait.
We waited.	Nous attendîmes.
We're shy.	Nous sommes timides.
Who cares?	À qui ceci importe-t-il ?
Wonderful!	Magnifique !
You tried.	Tu as essayé.
